name,min,max,c1,c2,c3,c4
gl_s_dga_ga_tot_n_none_c_c,0,648323542,0.007718382023890587,-0.0629593835177481,0.3119090527433607,-0.06896890149721416
gl_s_dga_ga_tot_s_none_c_c,0,1257660082,0.0084423033192673,-0.07889083754621688,0.3352798429807278,-0.06735060005511163
gl_s_dga_galt_mean_n_none_c_c,0,6310,0.18060806442780977,-0.36297673259588337,0.022959827918081495,0.4975428618432758
gl_s_dga_galt_mean_s_none_c_c,0,5894,0.34367801814009696,-0.43375432940256375,-0.1257909748479635,0.0967114542068965
gl_s_dga_gta_tot_n_none_c_c,0,28209504,0.010534533609908851,-0.0995068003832004,0.39471823783269305,-0.07461367309334162
gl_s_dga_gta_tot_s_none_c_c,0,73210924,0.019558234204734827,-0.09023257249997754,0.3559102433902393,-0.05057857282290797
gl_s_dga_gtalt_mean_n_none_c_c,0,6137,0.35189029316385034,-0.42388772398208463,-0.1265371678782872,-0.009336420600042649
gl_s_dga_gtalt_mean_s_none_c_c,0,5958,0.4262195165745151,-0.1771912487623449,-0.16095955122227837,-0.6895758346265277
gl_s_dga_gtwe_tot_n_none_c_c,0,280477842,0.01049096611551029,-0.10239022601193377,0.40337251661442647,-0.07529779745372481
gl_s_dga_gtwe_tot_s_none_c_c,0,759126054,0.0194960464221058,-0.09141684872869313,0.3605378289989707,-0.048152980440940456
gl_s_dga_gwe_tot_n_none_c_c,0,70321531040,0.004413302803845861,-0.051522779465486945,0.2879631245861198,-0.07980674928091601
gl_s_dga_gwe_tot_s_none_c_c,0,233157158456,-0.0014091675882681872,-0.04855331612455377,0.20460912078500662,-0.07242959231063809
gl_s_dga_rgla_tot_n_none_c_c,0,52314007,0.08154483279669811,-0.05350977568425692,0.04550476099950792,0.2425864496100139
gl_s_dga_rgla_tot_s_none_c_c,0,88785347,0.08272355666488883,-0.02982736920606094,0.05554743728156227,0.19571705436862083
gl_s_dga_rglalt_mean_n_none_c_c,0,5178,0.5113878798678544,0.4507514483753294,0.10975717683423504,0.13258815842777164
gl_s_dga_rglalt_mean_s_none_c_c,0,5060,0.5060375046051044,0.4535340935198017,0.10320828852598497,0.07870581057692073
gl_s_dga_rglwe_tot_n_none_c_c,0,681808088,0.07503662721616983,-0.05517608238969604,0.04115452472499533,0.25647964890448355
gl_s_dga_rglwe_tot_s_none_c_c,0,1019235465,0.07697768772914339,-0.03572300681969259,0.050223248208287274,0.20920031878505888
